image, headline
„Велико народно въстание 4“ с шествие към старата сграда на НС и "Св. Александър Невски",//img.bg.sof.cmestatic.com/media/images/704x396/Oct2020/2112271547.jpg,/bulgaria/den-87-na-zhivo-veliko-narodno-vastanie-4.html
bTV Репортерите: „Тихина“ - морски специален разузнавателен отряд,//img.bg.sof.cmestatic.com/media/images/704x396/Oct2020/2112271383.jpg,/predavania/btv-reporterite/btv-reporterite-tihina-morski-specialen-razuznavatelen-otrjad.html
Протест „Четвърто Велико народно въстание“ и във Варна,//img.bg.sof.cmestatic.com/media/images/704x396/Oct2020/2112271575.jpg,/bulgaria/protest-chetvarto-veliko-narodno-vastanie-i-vav-varna.html
Пътната полиция: Шумната маркировка ще намали катастрофите с до 40%,//img.bg.sof.cmestatic.com/media/images/704x396/Oct2020/2112271523.jpg,/bulgaria/patnata-policija-shumnata-markirovka-shte-namali-katastrofite-s-do-40.html
Тийнейджъри в Бургас се събраха на протест срещу хомофобията,//img.bg.sof.cmestatic.com/media/images/704x396/Oct2020/2112271364.jpg,/bulgaria/tijnejdzhari-v-burgas-se-sabraha-na-protest-sreshtu-homofobijata.html
Франция и Италия под вода: Изчезнали хора и отнесени къщи след бурята „Алекс“,//img.bg.sof.cmestatic.com/media/images/704x396/Oct2020/2112271613.jpg,/svetut/francija-i-italija-pod-voda-izcheznali-hora-i-otneseni-kashti-sled-burjata-aleks.html
Пратка за Космоса: „Сигнус" ще достави продоволствия и нова тоалетна на МКС,//img.bg.sof.cmestatic.com/media/images/704x396/Oct2020/2112271488.jpg,/svetut/pratka-za-kosmosa-signus-shte-dostavi-prodovolstvija-i-nova-toaletna-na-mks.html
Германия чества 30 години от своето обединение,//img.bg.sof.cmestatic.com/media/images/704x396/Mar2020/2112123222.jpg,/svetut/germanija-chestva-30-godini-ot-svoeto-obedinenie.html
Горският пожар в Хасковско: Спряха огъня на километър от с. Брегово,//img.bg.sof.cmestatic.com/media/images/704x396/Oct2020/2112271584.jpg,/bulgaria/gorskijat-pozhar-v-haskovsko-sprjaha-oganjat-na-kilometar-ot-s-bregovo.html
Сраженията в Нагорни Карабах се ожесточават,//img.bg.sof.cmestatic.com/media/images/704x396/Oct2020/2112269717.jpg,/svetut/srazhenijata-v-nagorni-karabah-se-ozhestochavat.html
Сръбският правосъден министър може да отмени екстрадицията на Цветан Василев,//img.bg.sof.cmestatic.com/media/images/704x396/Oct2020/2112271493.jpg,/bulgaria/srabskijat-pravosaden-ministar-mozhe-da-otmeni-ekstradicijata-na-cvetan-vasilev.html
Беларус се допитва до гражданите за текстовете в новата конституция на страната,//img.bg.sof.cmestatic.com/media/images/704x396/Sep2020/2112262483.jpg,/svetut/belarus-se-dopitva-do-grazhdanite-za-tekstovete-v-novata-konstitucija-na-stranata.html
В Русе се проведе протестно автошествие с искане за оставки,//img.bg.sof.cmestatic.com/media/images/704x396/Oct2020/2112271432.jpg,/bulgaria/v-ruse-se-provede-protestno-avtoshestvie-s-iskane-za-ostavki.html
COVID-19 в Европа: Полша и Чехия с черни рекорди от новозаразени,//img.bg.sof.cmestatic.com/media/images/704x396/Oct2020/2112271500.jpg,/svetut/covid-19-v-evropa-polsha-i-chehija-s-cherni-rekordi-ot-novozarazeni.html
Инцидент във Варна: Шофьорка блъсна работник на фирма за поддръжка на пътищата,//img.bg.sof.cmestatic.com/media/images/704x396/Oct2020/2112271380.jpg,/bulgaria/incident-vav-varna-shofyorka-blasna-rabotnik-na-firma-za-poddrazhka-na-patishtata.html
В София отказаха болничен на жена с мотива| че работи в друг град,//img.bg.sof.cmestatic.com/media/images/704x396/Oct2020/2112271263.jpg,/bulgaria/v-sofija-otkazaha-bolnichen-na-zhena-s-motiva-che-raboti-v-drug-grad.html
50-годишен мъж в ареста за опит за убийство в района на „Лъвов мост“ в София,//img.bg.sof.cmestatic.com/media/images/704x396/Feb2020/2112097467.jpg,/bulgaria/50-godishen-mazh-v-aresta-za-opit-za-ubijstvo-v-rajona-na-lavov-most-v-sofija.html
Григор Димитров на осминафинал в "Ролан Гарос" за първи път,//img.bg.sof.cmestatic.com/media/images/704x396/Oct2020/2112271419.jpg,/sport/grigor-dimitrov-na-osminafinal-v-rolan-garos-za-parvi-pat.html
„Върхът“ на една тоталитарна идеология (СНИМКИ И ВИДЕО),//img.bg.sof.cmestatic.com/media/images/640x360/Oct2020/2112269243.jpg,/galleries/varhat-na-edna-totalitarna-ideologija-snimki-i-video.html
За еволюцията на ревността и любовта като бял стих (СНИМКИ+ВИДЕО),//img.bg.sof.cmestatic.com/media/images/640x360/Sep2020/2112268365.jpg,/galleries/za-evoljucijata-na-revnostta-i-ljubovta-kato-bjal-stih-snimki-video.html
Първи дебат преди изборите в САЩ,//img.bg.sof.cmestatic.com/media/images/640x360/Sep2020/2112267934.jpg,/galleries/parvi-debat-predi-izborite-v-sasht.html
„Капитал(на) грешка“ – грешката е вярна и този път,//img.bg.sof.cmestatic.com/media/images/640x360/Sep2020/2112266423.jpg,/galleries/kapital-na-greshka-greshkata-e-vjarna-i-tozi-pat.html
„Серотонин“ – театър за щастието без хормони,//img.bg.sof.cmestatic.com/media/images/640x360/Sep2020/2112265558.jpg,/galleries/serotonin-teatar-za-shtastieto-bez-hormoni.html
Катастрофата като удар срещу системата (СНИМКИ+ВИДЕО),//img.bg.sof.cmestatic.com/media/images/640x360/Sep2020/2112261981.jpg,/galleries/katastrofata-kato-udar-sreshtu-sistemata-snimki-video.html
Празникът в София: Тържествена смяна на почетния гвардейски караул (ВИДЕО И СНИМКИ),//img.bg.sof.cmestatic.com/media/images/640x360/Sep2020/2112261452.jpg,/galleries/praznikat-v-sofija-tarzhestvena-smjana-na-pochetnija-gvardejski-karaul.html
Мисия "Черно море" (СНИМКИ),//img.bg.sof.cmestatic.com/media/images/640x360/Sep2020/2112259265.jpg,/galleries/misija-cherno-more.html
Григор Димитров на осминафинал в "Ролан Гарос" за първи път,//img.bg.sof.cmestatic.com/media/images/590x332/Oct2020/2112271419.jpg,/sport/grigor-dimitrov-na-osminafinal-v-rolan-garos-za-parvi-pat.html
Със ски в басейна (ВИДЕО),//img.bg.sof.cmestatic.com/media/images/590x332/Oct2020/2112271499.jpg,/sport/sas-ski-v-basejna-video.html
В ралито (ВИДЕО),//img.bg.sof.cmestatic.com/media/images/590x332/Sep2020/2112265772.jpg,/sport/ralito-otvatre-video1.html
Папазов: Проблемите дойдоха| защото бях честен (ВИДЕО),//img.bg.sof.cmestatic.com/media/images/590x332/Oct2020/2112271381.jpg,/sport/papazov-problemite-dojdoha-zashtoto-bjah-chesten-video.html
"Сити" отново не победи| вратарска грешка помогна на "Лийдс",//img.bg.sof.cmestatic.com/media/images/590x332/Oct2020/2112271624.jpg,/sport/siti-otnovo-ne-pobedi-vratarska-greshka-pomogna-na-lijds.html
